text,label
"My car broke down can you help
",2
"Yes please tell me your car number
",2
"It is this number
",2
"Okay sir I'm contacting you to the nearest assistant
",2
"Hello sir I'm your roadside engineer
",2
"Where are you located?
",2
"I'm located at so and so
",2
"I was driving and my engine stopped
",2
"I don't know why
",2
"This is not expected
",2
"I wanted to go far
",2
"I'm sorry sir I'll be coming soon to help
",2
"My car stopped working
",2
"The truck stalled
",2
"Truck won't start
",2
"Car won't run
",2
"No fuel
",2
"No gas
",2
"Engine overheated and stalled
",2
"Truck has broken down
",2
"hello car company my car stopped?
",2
"i need help
",2
"car fuel is over, can you help me?
",2
"car tyre punctured, need to replace the the tyre?
",2
"i called call centre no one picking up
",2
"am in the middle of the road i need urgent help
",2
"am at a crowded place, am in trouble
",2
"when is it towing coming?
",2
"send me cat towing co. contact number?
",2
"looks like battery is down?
",2
"seems to me engine not starting?
",2
"looks like engine over heated?
",2
"three is smoke coming
",2
"am 50 km away from my place
",2
"i can send you gps location
",2
"can you send assistant to replace the battery?
",2
"my car met with an accident 
",2
"i need towing help
",2
"how much it will cost for towing help
",2
"i have road side assistance insurance
",2
"do i need to pay for road side assistance
",2
"i don’t have call centre number
",2
"let me check if it is on the car somewhere
",2
"my family is worried, it is night now
",2
"will i get a car to reach home?
",2
"i lost my car key
",2
"i need car key replacement
",2
"hi vehicle organization my vehicle halted? 
",2
"I need assistance 
",2
"vehicle fuel is finished, would you be able to support me? 
",2
"vehicle tire punctured, need to supplant the tire? 
",2
"I called consider focus nobody getting 
",2
"am in the street I need pressing assistance 
",2
"am at a packed spot, am in a tough situation 
",2
"when is it towing coming? 
",2
"send me feline towing co. contact number? 
",2
"it would appear that battery is down? 
",2
"appears to me motor not turning over? 
",2
"it would appear that motor over warmed? 
",2
"three is smoke coming 
",2
"am 50 km away from my place 
",2
"I can send you gps area 
",2
"would you be able to send right hand to supplant the battery? 
",2
"my vehicle met with a mishap 
",2
"I need towing help 
",2
"the amount it will cost for towing help
",2
"I have street side help protection 
",2
"do I have to pay for street side help 
",2
"I don't have call focus number 
",2
"allow me to check on the off chance that it is on the vehicle some place 
",2
"my family is stressed, it is night now 
",2
"will I get a vehicle to arrive at home? 
",2
"I lost my vehicle key 
",2
I need vehicle key substitution,2
